[2025-11-07T17:49:45.805Z] [2025-11-07T17:49:45.805Z] ❌ Token buy failed: 2TYxiHfYkUP5KRa1qWH6ZAKSGLYcokaBPcCjbTZZpump - Cannot read properties of null (reading 'toLocaleString')
[2025-11-07T17:50:21.952Z] [2025-11-07T17:50:21.952Z] ❌ Token buy failed: HnT2zXSvx6wNY5BkjPWcWuQ8eemSocD1HEMyJLmUpump - Cannot read properties of null (reading 'toLocaleString')
[2025-11-07T17:52:16.080Z] [2025-11-07T17:52:16.080Z] ❌ Token buy failed: 9MRApmQXghdfD6sLZU6aaLbz419J3fJuzceDsGn3pump - Cannot read properties of null (reading 'toLocaleString')
[2025-11-07T17:53:35.189Z] [2025-11-07T17:53:35.189Z] ❌ Token buy failed: HnT2zXSvx6wNY5BkjPWcWuQ8eemSocD1HEMyJLmUpump - Cannot read properties of null (reading 'toLocaleString')
[2025-11-07T17:53:42.082Z] [2025-11-07T17:53:42.082Z] ❌ Token buy failed: 4QR9yBWALtMQQxeDjBNQ7FgE1Xn5FS9Mfc3GwjaHpump - Cannot read properties of null (reading 'toLocaleString')
[2025-11-07T17:54:24.364Z] [2025-11-07T17:54:24.364Z] ❌ Token buy failed: 4GwhwHA8W7zaX7q9TGuTSSxMNtCLAM4rYTug8fh9pump - Cannot read properties of null (reading 'toLocaleString')
[2025-11-07T17:56:04.405Z] [2025-11-07T17:56:04.405Z] ❌ Token buy failed: GTZ8tqCBJpCDRTY3zqXdDVhYZxJEXX1qeCDVuD3Vpump - Cannot read properties of null (reading 'toLocaleString')
[2025-11-07T17:59:40.761Z] [2025-11-07T17:59:40.761Z] ❌ Token buy failed: Hr4bCzwE48UccBQ6RtgG4s5MKC7eJK69nJK7tFzipump - Cannot read properties of null (reading 'toLocaleString')
[2025-11-07T18:00:28.978Z] [2025-11-07T18:00:28.978Z] ❌ Token buy failed: BsiqDixfGexX3HbZerjWv57nZtfiUWWgdehTAQbHpump - Cannot read properties of null (reading 'toLocaleString')
[2025-11-07T18:02:31.626Z] [2025-11-07T18:02:31.626Z] ❌ Token buy failed: DYXF653F25VZ97S6hkm3vjf1Q7tyLCwzLnTyyenSpump - Cannot read properties of null (reading 'toLocaleString')
[2025-11-07T18:05:07.922Z] [2025-11-07T18:05:07.922Z] ❌ Token buy failed: 36rL7wVnwWkJcmbZ9p7TjFe92GuuEjYVVQMp1TTepump - Cannot read properties of null (reading 'toLocaleString')
[2025-11-07T18:06:30.000Z] [2025-11-07T18:06:29.999Z] ❌ Token buy failed: EiyEdjVjsHTqAWFiQm9vaHfmSgL9wGq7i38pWR3Upump - Cannot read properties of null (reading 'toLocaleString')
[2025-11-07T18:07:19.807Z] [2025-11-07T18:07:19.807Z] ❌ Token buy failed: 9BiK8kk1touyPC1MJdBBSJgETe77rU4da1ggqVFCpump - Cannot read properties of null (reading 'toLocaleString')
[2025-11-07T18:08:32.670Z] [2025-11-07T18:08:32.670Z] ❌ Token buy failed: 5EczC42QefPP1UfH9JcEbs6CqcWK9iTC15UWiCbjpump - Cannot read properties of null (reading 'toLocaleString')
[2025-11-07T18:08:49.965Z] [2025-11-07T18:08:49.965Z] ❌ Token buy failed: 2LrsvvndiT66xVHgAdhWWopQdpKfEWbYxWuuK26fpump - Cannot read properties of null (reading 'toLocaleString')
[2025-11-07T18:10:09.214Z] [2025-11-07T18:10:09.214Z] ❌ Token buy failed: FKLLLQTr1rzecopRHDorMcTC13eEPqdvPvAp6PNtpump - Cannot read properties of null (reading 'toLocaleString')
[2025-11-07T18:11:46.381Z] [2025-11-07T18:11:46.381Z] ❌ Token buy failed: 99XQ18TTtBqUyJMFRQ5BT8C5ajX5WWimzMXhz5Ykpump - Cannot read properties of null (reading 'toLocaleString')
[2025-11-07T18:11:48.137Z] [2025-11-07T18:11:48.137Z] ❌ Token buy failed: 2WCvu4Raq5uhjH4DmBJALi5XrWmFheS5e1q4fKK6pump - Cannot read properties of null (reading 'toLocaleString')
[2025-11-07T18:12:26.456Z] [2025-11-07T18:12:26.456Z] ❌ Token buy failed: 8ECXVukhFNx2ZZdgg3s29kHsVyoHeJyPzypwQkxHpump - Cannot read properties of null (reading 'toLocaleString')
[2025-11-07T18:12:53.032Z] [2025-11-07T18:12:53.032Z] ❌ Token buy failed: 6QsFCaQryH5SWAT6vKx7zpTgZBUFZtzYdYy52s3xpump - Cannot read properties of null (reading 'toLocaleString')
[2025-11-07T18:21:10.509Z] ⏱️ confirm time taken using jupiter: 1063ms (1.06s) 5cM1v5pxMrGGd8ZQXpcrc6Lv3fBuPyUJi73j2dhqFXUe2S6LQb5tZCQeZqRqe2T8kirWpWcBotUnAh4ZNaLomXQt
[2025-11-07T18:22:03.849Z] [2025-11-07T18:22:03.849Z] ❌ Token buy failed: 94x5ePpSVSthTFPGcsrQdaE5p51yoX1yhXduRzqjpump - Buy transaction failed: txid=null, token_amount=null
[2025-11-07T18:22:25.338Z] [2025-11-07T18:22:25.338Z] ❌ Token buy failed: B231tSYoc732btGFm7jsz4RKCAMK2UfbbNCk3GXjpump - Buy transaction failed: txid=null, token_amount=null
[2025-11-07T18:22:47.010Z] [2025-11-07T18:22:47.010Z] ❌ Token buy failed: 2ankDHR6F2GJDwicfgnnLbsF7TByVRPtGnKcEzqwpump - Buy transaction failed: txid=null, token_amount=null
[2025-11-07T18:22:58.465Z] [2025-11-07T18:22:58.465Z] ❌ Token buy failed: 3QsQMhcwNCbJJyY8dXc5e8tBBAH9va66JiSWUxiMpump - Buy transaction failed: txid=null, token_amount=null
[2025-11-07T18:23:07.930Z] [2025-11-07T18:23:07.930Z] ❌ Token buy failed: 6FjcbJ5gjd5dKHMXs9snsQSwuBY4iXZ9kwpGM7y2pump - Buy transaction failed: txid=null, token_amount=null
[2025-11-07T18:23:25.296Z] [2025-11-07T18:23:25.296Z] ❌ Token buy failed: A6nZA2VoVwwqppwoBEdALYany9jtemTfMrUakhv4pump - Buy transaction failed: txid=null, token_amount=null
[2025-11-07T18:26:26.532Z] [2025-11-07T18:26:26.532Z] ❌ Token buy failed: AfxeUSLSXS62mRhHj34kJkuXCe9725nA3HVH3XerXJRM - Buy transaction failed: txid=null, token_amount=null
[2025-11-07T18:26:27.394Z] [2025-11-07T18:26:27.394Z] ❌ Token buy failed: E6enZKnxTeaybaoVi41h4dUo7LSLrevNgjnx3WoKpump - Buy transaction failed: txid=null, token_amount=null
[2025-11-07T18:27:12.288Z] [2025-11-07T18:27:12.288Z] ❌ Token buy failed: CHAriQJG6jYrFVZzH18faDRqUYihbs2PQeJq7hBTpump - Buy transaction failed: txid=null, token_amount=null
[2025-11-07T18:27:27.315Z] [2025-11-07T18:27:27.315Z] ❌ Token buy failed: 8zQZnYevvyb6eN1tXzExapcMUWdC4oNzSFjkhXaPpump - Buy transaction failed: txid=null, token_amount=null
[2025-11-07T18:28:57.297Z] [2025-11-07T18:28:57.297Z] ❌ Token buy failed: 7kTmpUihVDHKerSR4sV7k4DDni4HinCM1xRdpSGqpump - Buy transaction failed: txid=null, token_amount=null
[2025-11-07T18:30:12.650Z] [2025-11-07T18:30:12.650Z] ❌ Token buy failed: 8DywJYBZp146dTovueNYNeMR3bNiBwLACCSr2YHFpump - Buy transaction failed: txid=null, token_amount=null
[2025-11-07T18:32:25.394Z] [2025-11-07T18:32:25.394Z] ❌ Token buy failed: 7y5vSCaEudWPC39qeTA2bboatqq8tMXCv53tcV2cpump - Buy transaction failed: txid=null, token_amount=null
[2025-11-07T18:32:58.046Z] [2025-11-07T18:32:58.046Z] ❌ Token buy failed: ELJufj6c3kRSmj6na53m2FBjB6A7JsYz6xnKYc39pump - Buy transaction failed: txid=null, token_amount=null
[2025-11-07T18:33:00.571Z] [2025-11-07T18:33:00.571Z] ❌ Token buy failed: 6ymp4npojm8MyijDyhFZZ1rpw1TUGDaBhhjjHyAmpump - Buy transaction failed: txid=null, token_amount=null
[2025-11-07T18:33:15.154Z] [2025-11-07T18:33:15.154Z] ❌ Token buy failed: 3ogzxYQ3TPMYA2p7yeXeZ7bvYXyy9GykKon7A3uQpump - Buy transaction failed: txid=null, token_amount=null
[2025-11-07T18:35:10.410Z] [2025-11-07T18:35:10.410Z] ❌ Token buy failed: 9GQC4JTCHpPpaAsBJ5nx8urCLoBKY3gXgSEER15Tpump - Buy transaction failed: txid=null, token_amount=null
[2025-11-07T18:35:36.688Z] [2025-11-07T18:35:36.687Z] ❌ Token buy failed: 9GQC4JTCHpPpaAsBJ5nx8urCLoBKY3gXgSEER15Tpump - Buy transaction failed: txid=null, token_amount=null
[2025-11-07T18:36:56.064Z] [2025-11-07T18:36:56.064Z] ❌ Token buy failed: FhJrcLNqL6WiZUEBLRgs2eFxzGiJSNdxUYLxi4BBpump - Buy transaction failed: txid=null, token_amount=null
[2025-11-07T18:37:24.283Z] [2025-11-07T18:37:24.283Z] ❌ Token buy failed: 272UUkpoZ8t6c4MaJPvZYA45eSLGRobPdaoamHSdpump - Buy transaction failed: txid=null, token_amount=null
[2025-11-07T18:38:49.178Z] [2025-11-07T18:38:49.178Z] ❌ Token buy failed: 7rMtPqFtj18ZaoKEJGj7m8uWAEr2ryHhUUdDfwv4pump - Buy transaction failed: txid=null, token_amount=null
[2025-11-07T18:39:15.177Z] [2025-11-07T18:39:15.177Z] ❌ Token buy failed: Eha49dDbj3W4ZSb2VDCbDHpK8wZy6YX1V6QR4cYJpump - Buy transaction failed: txid=null, token_amount=null
[2025-11-07T18:39:35.796Z] [2025-11-07T18:39:35.796Z] ❌ Token buy failed: Eha49dDbj3W4ZSb2VDCbDHpK8wZy6YX1V6QR4cYJpump - Buy transaction failed: txid=null, token_amount=null
